architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
mlp_student,mlp,evts,5,0.01,3,1,10000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.04958,,,0.28042,1,0.046265,0.97491,0.87422,0.99958,39345,0.19673,0.22346,0.20793,0.05-0.95,0.13077,124.6,2026-08-03T19:55:58Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,2,10000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.049865,,,0.28042,1,0.046265,0.97455,0.87233,0.99958,39345,0.19673,0.22483,0.20793,0.05-0.95,0.13133,125.6,2026-08-03T19:58:17Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,0,20000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.0488,,,0.28042,1,0.046265,0.97606,0.87991,0.99961,39345,0.19673,0.21949,0.20793,0.05-0.95,0.12956,234.4,2026-08-03T20:00:42Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,1,20000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.04829,,,0.28042,1,0.046265,0.97681,0.88286,0.99981,39345,0.19673,0.21766,0.20793,0.05-0.95,0.12808,234.1,2026-08-03T20:04:57Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,2,20000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.049235,,,0.28042,1,0.046265,0.97623,0.88047,0.99968,39345,0.19673,0.22204,0.20793,0.05-0.95,0.12938,234.5,2026-08-03T20:09:11Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,0,10000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.05066,,,0.28042,1,0.046265,0.96866,0.84572,0.99877,39345,0.19673,0.22603,0.20793,0.05-0.95,0.1286,125.1,2026-08-03T18:47:18Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,1,10000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.05105,,,0.28042,1,0.046265,0.9685,0.84483,0.99879,39345,0.19673,0.22829,0.20793,0.05-0.95,0.1278,127.1,2026-08-03T18:49:37Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,2,10000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.05107,,,0.28042,1,0.046265,0.96937,0.8489,0.99888,39345,0.19673,0.22854,0.20793,0.05-0.95,0.12881,128.9,2026-08-03T18:51:57Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,0,20000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.04889,,,0.28042,1,0.046265,0.97145,0.85833,0.99915,39345,0.19673,0.2181,0.20793,0.05-0.95,0.12231,241.4,2026-08-03T18:54:31Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,1,20000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.0485,,,0.28042,1,0.046265,0.97218,0.86102,0.9994,39345,0.19673,0.21718,0.20793,0.05-0.95,0.12198,239.0,2026-08-03T18:58:53Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,2,20000000,200000,1.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.04835,,,0.28042,1,0.046265,0.97198,0.86008,0.99938,39345,0.19673,0.2165,0.20793,0.05-0.95,0.12277,239.6,2026-08-03T19:03:11Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
